site,imt,return_period,family,axis,iml_ref,lo,hi,row_lo,row_hi,range
iquique,PGA,2475,intraslab,Mmax pad 0 / 0.4,2.2677983639172306,-3.6555352630780025,3.280724792717171,pad0,pad04,6.936260055795174
iquique,PGA,2475,intraslab,"depths by slab-top regime, not thickness fraction",2.2677983639172306,0.0,0.4910382601075902,regime,regime,0.4910382601075902
iquique,PGA,2475,intraslab,"previous geometry: top + 7.5 km, depth-rule band",2.2677983639172306,0.0,0.6497936617113176,band_rule,band_rule,0.6497936617113176
iquique,PGA,2475,intraslab,smoothing neighbours 10 / 50,2.2677983639172306,-1.1688062264331278,0.862585473537103,nn10,nn50,2.031391699970231
iquique,PGA,2475,intraslab,pattern from all complete events / + calibrated kernel,2.2677983639172306,-2.6681138651657,0.0,smooth_cv,smooth_all,2.6681138651657
iquique,PGA,2475,intraslab,kernel gaussian / cut-off 200 km,2.2677983639172306,-2.169660615620572,0.0,gauss,dmax200,2.169660615620572
iquique,PGA,2475,intraslab,rupture scaling: Allen & Hayes,2.2677983639172306,-3.0713588113975288,0.0,msr_ah,msr_ah,3.0713588113975288
iquique,PGA,2475,intraslab,rupture aspect ratio 2,2.2677983639172306,-1.3669301484614094,0.0,asp20,asp20,1.3669301484614094
iquique,PGA,2475,intraslab,rupture dip 45 / 90,2.2677983639172306,-2.45437804460511,2.2470431531913304,dip45,dip90,4.70142119779644
iquique,PGA,2475,intraslab,sources from M5.5,2.2677983639172306,0.0,5.579573914005209e-07,mmin55,mmin55,5.579573914005209e-07
iquique,PGA,2475,intraslab,GMM (single vs tree),2.2677983639172306,-21.193490191119214,20.665738727836303,gmm_mv,gmm_pk,41.859228918955516
iquique,PGA,2475,crustal,faults vs no faults,2.2677983639172306,-0.11255064075983423,0.0,nofaults,nofaults,0.11255064075983423
iquique,PGA,2475,crustal,buffer margin 0 / 20 km,2.2677983639172306,-0.0016102657602545811,0.012999080626330262,margin20,margin0,0.014609346386584843
iquique,PGA,2475,crustal,cap and fault Mmin 6.5,2.2677983639172306,0.0,0.002508294830172453,cap65,cap65,0.002508294830172453
iquique,PGA,2475,crustal,declustering,2.2677983639172306,0.0,0.00014272502846246482,dc_gruenthal,dc_gruenthal,0.00014272502846246482
iquique,PGA,2475,crustal,no declustering (full catalog),2.2677983639172306,-1.8205114027392e-05,0.0,raw,raw,1.8205114027392e-05
iquique,PGA,2475,crustal,classification tolerance -5 / +5 km,2.2677983639172306,-6.008602573270849e-05,0.0,cls_m5,cls_p5,6.008602573270849e-05
iquique,PGA,2475,crustal,default-depth events to interface,2.2677983639172306,-6.351428505357859e-06,0.0,cls_fix,cls_fix,6.351428505357859e-06
iquique,PGA,2475,crustal,background Mmax 7.5,2.2677983639172306,0.0,0.005396428172477208,mmax75,mmax75,0.005396428172477208
iquique,PGA,2475,crustal,GMM (single vs tree),2.2677983639172306,-0.09613029505846082,0.11132238899740354,gmm_bssa,gmm_cb,0.20745268405586437
iquique,PGA,2475,all,truncation 2.5 / 4.0,2.2677983639172306,-7.072972845932412,4.598142184017084,tr25,tr40,11.671115029949497
iquique,PGA,2475,all,truncation 2.0,2.2677983639172306,-18.22198816902413,0.0,tr20,tr20,18.22198816902413
iquique,PGA,2475,all,"numerics: mesh 5 km, point-source distance 100 km",2.2677983639172306,0.0,0.8184698858157979,num,num,0.8184698858157979
iquique,PGA,2475,all,"no declustering, all families",2.2677983639172306,-8.273264808261827,0.0,raw,raw,8.273264808261827
iquique,PGA,2475,all,"classification tolerance -5 / +5 km, all families",2.2677983639172306,-2.7501441570080165,2.595772787541617,cls_p5,cls_m5,5.345916944549634
iquique,PGA,2475,all,"default-depth events to interface, all families",2.2677983639172306,0.0,0.5875595837086633,cls_fix,cls_fix,0.5875595837086633
antofagasta,PGA,475,interface,Z_BOTTOM 40 / 60 km,1.3902837109955062,-2.1919716560420133,5.262293642679006,zbot60,zbot40,7.454265298721019
antofagasta,PGA,475,interface,Z_TOP 10 km,1.3902837109955062,0.0,3.461656084887421,ztop10,ztop10,3.461656084887421
antofagasta,PGA,475,interface,declustering,1.3902837109955062,0.0,2.035592217226756,dc_gruenthal,dc_gk74sym,2.035592217226756
antofagasta,PGA,475,interface,no declustering (full catalog),1.3902837109955062,-10.920288608632323,0.0,raw,raw,10.920288608632323
