longitude,latitude,mag,kernel_r_km
-68.721,-20.811,5.3,29.67755939777533
-71.11,-36.24,5.2,54.492116030895865
-67.574,-28.746,5.3,41.76330249477759
-67.191,-21.321,5.3,34.64104684925919
-68.768,-31.319,5.2,30.26103591457084
-71.052,-17.571,5.3,47.40985868176712
-67.35,-18.91,6.3,44.16944214677759
-69.519,-19.792,5.3,42.33272522136779
-66.36,-22.31,5.3,41.76242722333417
-69.93,-18.31,5.6,44.50483498583903
-69.089,-28.416,5.5,40.382401181913565
-68.6,-21.767,5.2,26.085369137807728
-70.902,-34.418,5.5,50.93357189325346
-69.219,-21.458,5.4,44.498042395040194
-71.169,-31.762,5.5,44.783803586525266
-72.53,-37.05,5.3,72.36456579117836
-68.516,-23.396,5.6,39.39745750346025
-69.998,-32.458,5.2,37.51333811295259
-70.15,-25.41,5.5,57.10429376990844
-68.24,-21.406,5.3,27.786365249233363
-70.303,-32.045,5.5,45.22173145023203
-69.381,-23.25,5.6,32.76203851739135
-67.473,-22.685,5.4,43.067864451325484
-66.676,-23.971,5.5,29.514669739797316
-67.342,-32.689,5.6,98.058194450274
-67.431,-20.791,5.2,40.438143770176445
-68.518,-20.819,5.3,33.96961717492692
-66.493,-21.403,5.2,30.999483052343226
-71.07,-29.81,5.4,42.377174047543186
-68.667,-24.44,5.7,50.9036946531937
-68.339,-22.046,5.5,36.29434098785654
-66.31,-28.73,5.3,92.3907571621851
-68.772,-19.839,5.3,34.5243249878113
-67.881,-31.88,5.4,45.40578730838446
-66.922,-22.522,5.3,48.16083574808711
-66.19,-22.92,6.9,40.7003644767405
-67.379,-21.372,5.2,30.961034360213517
-65.748,-20.632,5.2,99.56424988096427
-72.135,-17.096,5.8,100.2260660096574
-65.19,-30.95,5.4,156.1290432688827
-69.464,-19.957,5.7,43.521761881150944
-69.633,-29.49,5.4,38.1131701969041
-68.94,-21.29,5.7,28.98817406375888
-70.64,-17.25,5.2,43.66149334370271
-66.96,-28.33,5.4,43.550326783937386
-70.02,-18.96,7.0,37.87500864074234
-67.635,-22.332,5.2,36.2414219199829
-68.85,-22.11,5.5,38.2686834918773
-71.02,-31.67,5.2,47.89012803771739
-69.25,-24.36,5.6,33.54800538770872
-68.148,-27.396,5.3,86.39625494311169
-69.48,-18.17,5.9,34.389473996295486
-68.06,-22.88,5.6,42.356935648049856
-69.29,-21.663,5.3,53.75601543371246
-68.871,-20.381,5.5,31.642565387882232
-72.773,-38.388,5.3,90.19776877125403
-68.829,-22.636,5.4,31.02355463252198
-70.19,-25.99,5.3,54.19275939880314
-71.01,-34.74,5.4,45.64178223416248
-68.973,-23.162,5.3,33.57531141066378
-69.89,-23.9,5.3,52.11058390738567
-68.87,-19.77,5.3,30.91542039953996
-67.02,-18.03,6.5,91.51561315536367
-71.198,-39.957,5.2,113.69732269920513
-68.333,-22.326,5.5,39.681081527082895
-66.544,-21.343,5.2,30.153635459843674
-70.122,-17.076,5.8,58.335945932992836
-69.57,-20.53,6.6,48.19578195062934
-70.09,-17.99,5.5,40.55993019450506
-68.899,-29.252,5.4,56.87986168574475
-69.333,-19.454,5.6,35.10483561896936
-68.357,-21.905,5.5,33.342333397794626
-67.354,-27.539,5.4,47.122180632120305
-69.62,-17.51,5.6,31.464905658159125
-67.053,-24.264,5.5,24.41643912195142
-69.061,-31.515,6.2,31.08236713042574
-68.804,-30.239,5.2,73.43250716062614
-67.181,-31.965,5.2,50.44575140046884
-67.442,-21.845,5.4,40.483395670872895
-67.15,-23.82,5.4,43.68911881003987
-69.361,-32.372,5.3,54.65400785993928
-65.61,-22.01,6.1,66.56543691593056
-67.461,-28.822,5.2,44.74070839664891
-72.395,-36.467,5.4,66.34521672653261
-70.818,-31.117,5.4,51.934284566027145
-68.784,-21.553,5.2,32.497013524232884
-68.24,-23.5,5.9,37.23140500826454
-66.651,-27.879,5.3,23.758335174702548
-67.69,-23.21,5.4,52.72344781672449
-69.405,-24.023,5.7,36.02408037553238
-70.169,-25.503,5.6,52.385863232631046
-70.441,-28.433,5.3,36.260288582947524
-68.5,-20.36,5.3,39.322334963204995
-69.887,-24.02,5.3,47.807382487955174
-69.244,-25.395,5.3,53.26125625214658
