id,time_iso,longitude,latitude,depth,mag,mag_type,lon_error,lat_error,depth_error,mag_error,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class_raw,sub_depth,class
5662,1979/01/13,-67.95,-24.17,137,5.3,mw,0.09,0.08,3.6,,148,24,-89,326,66,-91,-6.08e+16,7.63e+15,5.317e+16,3.614e+16,-5.445e+16,-5.151e+16,GCMT,,slab_deep,100.016822815,slab_deep
5677,1979/02/16,-72.658,-16.39,53,6.9,mw,,,,,59,16,25,305,84,104,1.208e+19,-2.331e+19,1.123e+19,-4.718e+19,3.404e+19,3.06e+18,USGS,,slab_deep,64.2673416138,slab_deep
5676,1979/02/16,-72.48,-16.88,34.3,7.1,mw,0.02,0.02,1,,59,16,25,305,84,104,1.208e+19,-2.331e+19,1.123e+19,-4.718e+19,3.404e+19,3.06e+18,GCMT,,forearc,48.1521110535,forearc
5678,1979/02/16,-72.38,-17.05,55,5.6,mw,0.06,0.05,0,,58,35,21,311,78,124,8.97e+16,-2.022e+17,1.125e+17,-1.463e+17,1.358e+17,4.07e+16,GCMT,,intra_slab,45.0858154297,intra_slab
5707,1979/03/20,-71.42,-35.79,122.7,5.4,mw,0.07,0.05,2.8,,141,24,-158,32,81,-68,-4.52e+16,-2.82e+16,7.35e+16,-8.35e+16,-1.012e+17,-1.74e+16,GCMT,,slab_deep,81.974029541,slab_deep
5722,1979/04/18,-67.07,-24.31,194.2,5.7,mw,0.03,0.03,1.4,,206,37,-19,311,79,-126,-1.313e+17,-1.745e+17,3.057e+17,2.259e+17,-2.188e+17,-1.495e+17,GCMT,,slab_deep,141.718276978,slab_deep
5736,1979/04/26,-72.07,-33.91,33.7,5.9,mw,0.03,0.03,1.7,,26,25,124,170,70,76,5.149e+17,1.315e+17,-6.464e+17,1.557e+17,-6.172e+17,-8.55e+16,GCMT,,slab_interface,25.0887012482,slab_interface
5738,1979/04/28,-70.933,-27.56,22,5.7,mw,,,,,31,24,68,234,68,99,1.307e+18,-6.07e+17,-7e+17,-1.162e+18,-7.19e+17,-8.27e+17,ISC,,slab_interface,29.762172699,slab_interface
5737,1979/04/28,-71.17,-27.39,21.1,6.1,mw,0.05,0.04,2.2,,31,24,68,234,68,99,1.307e+18,-6.07e+17,-7e+17,-1.162e+18,-7.19e+17,-8.27e+17,GCMT,,slab_interface,21.9969615936,slab_interface
5746,1979/05/04,-68.38,-21.77,124,5.4,mw,0.08,0.06,2.6,,100,51,-146,347,65,-45,-8.31e+16,4.5e+16,3.8e+16,-1.98e+16,-6.75e+16,-1.103e+17,GCMT,,slab_deep,97.0668563843,slab_deep
