site,domain,level,poe
iquique,Interface,0.21258931226503822,0.013210722729563713
iquique,Interface,0.2650572854919946,0.009902906296774747
iquique,Interface,0.3304745842763549,0.007334756893105806
iquique,Interface,0.412037158872693,0.005346800470724703
iquique,Interface,0.513729734053947,0.0038170879986137154
iquique,Interface,0.6405204821167169,0.002653503881301731
iquique,Interface,0.7986037420367598,0.0017854548082686962
iquique,Interface,0.9957026427749722,0.0011557795223779976
iquique,Interface,1.2414464153405262,0.0007153821887914092
iquique,Interface,1.547840827123473,0.0004205838596681133
iquique,Interface,1.92985472148076,0.0002331053219677415
iquique,Interface,2.4061513178605933,0.00012055325554683805
iquique,Interface,3.0,5.724793827539543e-05
antofagasta,Interface,0.005,0.39599667817354206
antofagasta,Interface,0.006234021895737255,0.3630634015798569
antofagasta,Interface,0.007772605799306304,0.32978496760129933
antofagasta,Interface,0.009690918947961973,0.29655076593160634
antofagasta,Interface,0.012082680182281997,0.26377052634954457
antofagasta,Interface,0.015064738563107317,0.23187464371323585
antofagasta,Interface,0.01878278201119368,0.20130343645811083
antofagasta,Interface,0.023418454864128246,0.17248727872967723
antofagasta,Interface,0.02919823207746202,0.1458183790743351
antofagasta,Interface,0.036404483617543226,0.12161962144076825
antofagasta,Interface,0.04538926959495454,0.10011539198458196
antofagasta,Interface,0.05659154009729356,0.08140911176800728
antofagasta,Interface,0.07055858001600415,0.0654786490276456
antofagasta,Interface,0.08797274655037983,0.0521833299472928
antofagasta,Interface,0.10968480564464235,0.04128568764775992
antofagasta,Interface,0.13675549600367723,0.03248600549995899
antofagasta,Interface,0.17050735128986647,0.025455487221479417
antofagasta,Interface,0.21258931226503822,0.01987049812451005
antofagasta,Interface,0.2650572854919946,0.015437435675412418
antofagasta,Interface,0.3304745842763549,0.011908001182600856
antofagasta,Interface,0.412037158872693,0.009084559911862015
antofagasta,Interface,0.513729734053947,0.0068202084582299
antofagasta,Interface,0.6405204821167169,0.005009128171950579
antofagasta,Interface,0.7986037420367598,0.00357622669544071
antofagasta,Interface,0.9957026427749722,0.0024660664424300195
antofagasta,Interface,1.2414464153405262,0.0016322774009313434
antofagasta,Interface,1.547840827123473,0.0010306894406676291
antofagasta,Interface,1.92985472148076,0.0006169420274090954
antofagasta,Interface,2.4061513178605933,0.0003475681926647667
antofagasta,Interface,3.0,0.00018252264759212268
copiapo,Interface,0.005,0.3528950709104538
copiapo,Interface,0.006234021895737255,0.31604930937290193
copiapo,Interface,0.007772605799306304,0.2795345836877823
copiapo,Interface,0.009690918947961973,0.24403651878237725
